n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
318,318,370479.2468,0.99,0.98,1,50,0.91,816.3693726751,422729.5042718,4
319,319,492941.0296,0.92,0.95,1,55,0.96,775.3423277119,422752.627529,8
320,320,482449.8602,0.94,0.99,1,55,0.96,800.4187215581,422750.6994977,2
321,321,484495.2474,0.96,0.92,1,55,0.98,778.7547819057,422762.0053672,10
322,322,480722.6391,0.95,0.97,1,55,0.98,795.9604335727,422759.4346589,2
323,323,-58415.8579,0.99,0.93,1,30,0.94,795.1237665394,422744.5350449,10
324,324,476724.1756,0.97,0.96,1,55,0.98,799.7912212832,422759.4346589,2
325,325,586029.2602,0.95,1.0,1,60,0.92,808.7077972541,422734.5145295,6
326,326,176842.1733,0.91,0.96,1,40,0.98,775.5514944702,422759.4346589,2
327,327,473194.6137,0.99,0.94,1,55,0.99,799.3728877665,422763.8022395,2
328,328,495225.3985,0.92,0.96,1,55,0.92,779.591448939,422733.2291753,2
329,329,582554.7716,0.97,0.98,1,60,0.93,808.2894637375,422738.239433,4
330,330,-48668.6962,0.94,0.92,1,30,1.0,770.6748729681,422770.7405284,10
331,331,392420.8732,0.92,0.91,1,50,0.98,758.3458428033,422759.4346589,2
332,332,583437.5014,0.97,0.96,1,60,0.95,799.7912212832,422747.6172713,6
333,333,-44512.138,0.92,0.99,1,30,0.92,792.3388126205,422734.5145295,6
334,334,59571.6185,0.93,1.0,1,35,0.96,800.6278883165,422751.3421748,4
335,335,287167.4839,0.94,0.92,1,45,0.91,770.6748729681,422731.4323031,10
336,336,601563.1346,0.93,0.91,1,60,0.94,762.3857972721,422743.8923678,8
337,337,-59265.0739,0.95,1.0,1,30,0.96,808.7077972541,422752.627529,8
338,338,183481.768,0.91,0.91,1,40,0.98,754.3058883344,422762.0053672,10
339,339,484563.4473,0.97,0.94,1,55,0.92,791.2929788289,422733.2291753,2
340,340,259479.5779,0.97,1.0,1,45,1.0,816.7877061918,422770.7405284,10
341,341,279206.2484,0.96,0.91,1,45,0.95,774.5056606786,422748.2599484,8
342,342,480327.003,0.96,0.94,1,55,1.0,787.25302436,422768.1698201,2
343,343,374058.9895,1.0,0.91,1,50,0.95,790.6654785539,422746.9745942,4
344,344,577354.9158,0.99,0.96,1,60,0.96,807.8711302208,422750.6994977,2
345,345,378262.4645,0.92,1.0,1,50,1.0,796.5879338476,422770.0978513,8
346,346,171168.4339,0.93,0.96,1,40,0.98,783.6314034079,422761.3626901,8
347,347,152782.3424,0.98,0.98,1,40,1.0,812.3294182063,422768.8124971,4
348,348,-63194.1877,0.98,0.99,1,30,0.93,816.5785394335,422738.239433,4
349,349,-40122.0583,0.91,0.95,1,30,0.96,771.302373243,422753.270206,10
350,350,281910.6721,0.91,0.96,1,45,0.99,775.5514944702,422765.0875936,6
351,351,-61958.9508,0.99,0.97,1,30,0.92,812.120251448,422733.2291753,2
352,352,598883.6261,0.91,0.99,1,60,0.91,788.2988581517,422730.1469489,6
353,353,154589.7399,0.99,0.99,1,40,0.94,820.6184939023,422744.5350449,10
354,354,587903.0124,0.96,0.94,1,60,0.96,787.25302436,422751.9848519,6
355,355,274183.9417,0.96,0.91,1,45,1.0,774.5056606786,422770.0978513,8
356,356,264663.3963,0.99,0.96,1,45,0.95,807.8711302208,422746.9745942,4
357,357,-63050.4179,0.99,0.94,1,30,0.97,799.3728877665,422756.3524325,6
358,358,270231.6581,0.98,0.96,1,45,0.92,803.831175752,422735.1572066,8
359,359,158948.0321,0.97,1.0,1,40,0.94,816.7877061918,422741.9643365,2
360,360,-51924.0118,0.97,0.95,1,30,0.91,795.542100056,422728.8615947,2
361,361,378036.2171,0.97,0.91,1,50,0.99,778.5456151474,422764.4449165,4
362,362,480421.6644,0.98,0.93,1,55,0.95,791.0838120705,422748.9026254,10
363,363,473064.4209,0.99,0.96,1,55,0.96,807.8711302208,422751.3421748,4
364,364,278061.1189,0.97,0.93,1,45,0.91,787.0438576017,422728.8615947,2
365,365,587400.938,0.95,0.95,1,60,0.98,787.4621911184,422762.0053672,10
366,366,579927.9858,0.99,0.92,1,60,0.99,790.8746453122,422765.7302707,8
367,367,63253.566,0.91,0.99,1,35,0.99,788.2988581517,422765.7302707,8
368,368,485392.9579,0.96,0.94,1,55,0.94,787.25302436,422743.2496907,6
369,369,173577.7874,0.94,0.93,1,40,0.97,774.9239941952,422756.9951095,8
370,370,370633.2791,0.99,0.97,1,50,0.93,812.120251448,422739.5247872,8
371,371,277526.3035,0.95,0.92,1,45,0.98,774.7148274369,422761.3626901,8
372,372,-69447.9119,1.0,0.94,1,30,1.0,803.4128422354,422770.7405284,10
373,373,379337.6729,0.96,0.95,1,50,0.95,791.5021455872,422747.6172713,6
374,374,480643.8115,0.97,0.95,1,55,0.95,795.542100056,422746.3319171,2
375,375,472128.4718,0.98,1.0,1,55,0.94,820.8276606606,422742.6070136,4
376,376,-45301.0437,0.96,0.91,1,30,0.93,774.5056606786,422738.239433,4
377,377,485525.0048,0.95,0.94,1,55,0.97,783.2130698912,422755.7097554,4
378,378,173406.3255,0.94,0.94,1,40,0.96,779.1731154224,422750.6994977,2
379,379,373463.5232,0.98,0.97,1,50,0.93,808.0802969792,422737.5967559,2
380,380,591414.3821,0.93,1.0,1,60,0.92,800.6278883165,422733.8718524,4
381,381,45037.7257,1.0,0.98,1,35,0.94,820.409327144,422743.8923678,8
