n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
89,89.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.8,0.9,1.0,60.0,168.67083102350662,107.28334889774962,520.3666037528191,1558.5355920109073,4.0
90,90.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,60.0,-302.3040048185635,107.28334889774962,644.8940922247282,2703.5291047250935,8.0
91,91.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.9,45.0,119.81255197263701,107.28334889774962,587.869603752819,929.6467339315336,2.0
92,92.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.8,0.8,0.7,45.0,-570.56788987986,31.598753349155245,542.0188122247281,1052.0530525356007,10.0
93,93.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,1.0,55.0,-106.94010495449449,107.28334889774962,660.3851152809101,1558.5355920109073,4.0
94,94.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,30.0,-170.90997180739163,107.28334889774962,507.60858069663703,929.6467339315336,2.0
95,95.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.9,0.7,0.9,55.0,-78.12219733594459,107.28334889774962,572.3785806966371,3294.823228322946,10.0
96,96.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.8,0.7,0.8,40.0,-591.637077059922,22.074667526002244,501.88830069663703,821.322806355969,10.0
97,97.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,30.0,-719.2194119546758,22.074667526002244,677.52351528091,677.3319573880829,8.0
98,98.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.9,0.7,0.8,35.0,-563.5536246720865,22.074667526002244,460.0045806966371,669.5343757329645,8.0
99,99.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,0.8,55.0,308.56084196608003,107.28334889774962,660.3851152809101,892.0519994500135,2.0
100,100.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.8,0.7,0.9,40.0,-675.959694982177,22.074667526002244,539.9935806966371,829.1203880110872,10.0
101,101.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,0.8,20.0,-862.7385600418627,22.074667526002244,637.393003752819,821.322806355969,10.0
102,102.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.7,0.9,0.9,35.0,88.68574881311405,107.28334889774962,500.4676037528191,929.6467339315336,2.0
103,103.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.7,0.9,0.8,50.0,380.87529979877127,107.28334889774962,587.869603752819,892.0519994500135,2.0
104,104.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.8,0.9,35.0,-579.7446906432724,22.074667526002244,597.2624922247281,525.5435267650787,6.0
105,105.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,0.9,0.7,0.8,55.0,283.31941716212515,107.28334889774962,460.0045806966371,892.0519994500135,2.0
106,106.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.7,0.8,0.8,60.0,-99.60922844778513,107.28334889774962,514.3969722247281,2665.9343702435726,8.0
107,107.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.7,1.0,40.0,-544.8874633775224,22.074667526002244,479.9035806966371,685.1295390432012,8.0
108,108.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,25.0,-255.29679954353486,107.28334889774962,677.52351528091,929.6467339315336,2.0
109,109.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.7,0.7,0.8,55.0,545.7630179903989,107.28334889774962,507.60858069663703,892.0519994500135,2.0
110,110.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.9,0.8,0.7,25.0,-576.6735424933628,22.074667526002244,612.5090922247281,358.1599328318376,4.0
111,111.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.9,0.7,40.0,-204.4955548588671,107.28334889774962,685.0246037528191,854.4572649684934,2.0
112,112.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.8,0.9,1.0,55.0,-333.3232003070308,103.70331598241185,520.3666037528191,2634.434673405548,8.0
113,113.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.8,0.7,0.8,40.0,-375.01707780599224,97.97152050929304,440.10558069663705,2946.8187488776803,10.0
114,114.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,0.7,0.8,40.0,-183.29675108781208,107.28334889774962,572.3785806966371,1483.346123047867,4.0
115,115.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.7,0.7,0.7,20.0,-606.8459688392459,22.074667526002244,474.266460696637,509.94836345484185,6.0
116,116.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.7,0.8,0.8,60.0,-388.92401158877516,100.66422021179234,514.3969722247281,3030.8942911051577,10.0
117,117.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.7,0.7,45.0,-483.34881946057453,83.50440590664688,557.1319806966371,2479.0917719812337,10.0
118,118.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.8,0.9,1.0,25.0,-760.0015845484576,22.074667526002244,620.254603752819,836.9179696662056,10.0
119,119.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.9,0.7,0.8,60.0,122.59108859303676,107.28334889774962,460.0045806966371,1483.346123047867,4.0
120,120.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.9,0.8,0.8,25.0,-588.4736925804133,22.074667526002244,569.6406522247281,517.7459451099603,6.0
121,121.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.9,0.7,50.0,-444.99161307710335,98.85987866875949,560.1646037528191,2399.9267700680375,8.0
122,122.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.9,0.8,20.0,-949.6821555043475,22.074667526002244,685.0246037528191,821.322806355969,10.0
123,123.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.7,1.0,0.9,45.0,112.79586392313493,107.28334889774962,594.65799528091,1520.9408575293871,4.0
124,124.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.9,1.0,0.7,45.0,-598.4294170717021,31.598753349155245,580.3961152809101,1052.0530525356007,10.0
125,125.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.9,0.7,0.7,30.0,-237.05127301559364,107.28334889774962,460.0045806966371,854.4572649684934,2.0
126,126.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.7,0.8,40.0,-213.40163672018707,107.28334889774962,479.9035806966371,2665.9343702435726,8.0
127,127.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.7,0.9,0.9,40.0,-256.6229610311069,107.28334889774962,500.4676037528191,1520.9408575293871,4.0
128,128.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,25.0,-701.4440389347687,22.074667526002244,652.6396037528191,517.7459451099603,6.0
129,129.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.8,0.8,0.7,50.0,-5.389116010196832,107.28334889774962,542.0188122247281,2037.0455121642,6.0
130,130.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,0.7,0.9,60.0,210.93046280903752,107.28334889774962,529.5101406966371,929.6467339315336,2.0
131,131.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.9,1.0,0.9,40.0,-614.2204045420702,22.074667526002244,580.3961152809101,677.3319573880829,8.0
132,132.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,60.0,436.7853537659091,107.28334889774962,644.8940922247282,1445.7513885663468,4.0
