n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
93,93.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.8,0.7,0.9,40.0,309.7483994980528,190.19516550018875,885.2415806966371,1516.5636235701313,2.0
94,94.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.7,0.8,1.0,50.0,155.7422818429444,190.19516550018875,1146.7001475745144,3270.0569296104945,6.0
95,95.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,45.0,171.92346527138187,190.19516550018875,1470.2658344681429,1516.5636235701313,2.0
96,96.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.7,0.9,55.0,-14.699509789134595,190.19516550018875,1145.6240041277003,4873.005066109692,10.0
97,97.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.9,1.0,1.0,40.0,-195.8235650912887,190.19516550018875,1081.17411528091,3270.0569296104945,6.0
98,98.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.9,0.9,60.0,-122.62101836254166,190.19516550018875,1253.4518110213291,4873.005066109692,10.0
99,99.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.7,1.0,1.0,60.0,636.1585624646058,190.19516550018875,1195.8564344681429,1591.8362083407142,2.0
100,100.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.7,1.0,45.0,-359.79045603218873,190.19516550018875,1036.323580696637,4948.277650880274,10.0
101,101.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.9,1.0,45.0,-453.90891919666393,190.19516550018875,1183.664371021329,4109.167290245384,8.0
102,102.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.9,0.9,50.0,-16.422055961669233,190.19516550018875,1041.043603752819,3194.7843448399126,6.0
103,103.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.8,1.0,0.9,25.0,-476.6664127282627,190.19516550018875,959.6046352809101,2355.6739842050215,4.0
104,104.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.7,0.8,1.0,55.0,103.81900605465488,190.19516550018875,809.556172224728,4109.167290245384,8.0
105,105.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,40.0,-798.099103004681,190.19516550018875,1452.260434468143,4873.005066109692,10.0
106,106.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,-149.4148076495077,190.19516550018875,1377.341434468143,3270.0569296104945,6.0
107,107.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.7,0.9,60.0,548.5621847058876,190.19516550018875,764.8735806966372,4033.8947054748023,8.0
108,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,30.0,-1155.6094964781948,56.00568523776178,1296.0840041277004,1348.0659560482732,8.0
109,109.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.8,0.9,1.0,20.0,-1034.4365390932812,56.00568523776178,919.474123752819,1063.112070181987,6.0
110,110.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.7,1.0,20.0,-813.5245134962415,56.00568523776178,1085.1290041277005,493.2042984494142,2.0
111,111.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.8,0.9,0.9,25.0,-1030.2848988983417,56.00568523776178,1179.1122910213292,1327.2409147899605,8.0
112,112.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.9,40.0,-807.3707517370701,190.19516550018875,1470.2658344681429,4873.005066109692,10.0
113,113.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.7,0.9,40.0,-699.5642707188691,118.92485339664279,809.700580696637,3078.515181419632,10.0
114,114.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.8,1.0,55.0,-109.41746657635277,190.19516550018875,849.8310922247281,4948.277650880274,10.0
115,115.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.9,0.8,1.0,50.0,-158.2334891394692,190.19516550018875,1000.9130922247281,4948.277650880274,10.0
116,116.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.9,40.0,-523.8603591421074,190.19516550018875,1006.2551152809101,4873.005066109692,10.0
117,117.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,1.0,0.9,60.0,-56.70233410601479,190.19516550018875,1081.17411528091,4873.005066109692,10.0
118,118.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.7,1.0,35.0,-239.62021385638675,190.19516550018875,1220.5430041277004,2430.9465689756044,4.0
119,119.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.9,0.7,1.0,40.0,-306.00576759899224,190.19516550018875,960.7825806966371,4109.167290245384,8.0
120,120.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.7,0.9,30.0,-904.1684172076308,126.56375949276351,1238.5484041277002,2702.0641404252447,8.0
121,121.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,0.9,60.0,111.37977545385054,190.19516550018875,1179.1122910213292,4033.8947054748023,8.0
122,122.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.8,1.0,0.9,55.0,473.6568077938039,190.19516550018875,1256.3514344681432,2355.6739842050215,4.0
123,123.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,55.0,-170.93857306952128,190.19516550018875,1375.0212910213293,4948.277650880274,10.0
124,124.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.7,0.9,30.0,-103.55659392041943,190.19516550018875,1029.1860841277005,1516.5636235701313,2.0
