n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
121,121.0,1.0,1.0,2.0,0.4,2.0,1.0,0.9,0.9,0.7,0.7,55.0,-749.0045019721667,130.58794234320223,2906.9054205446632,2566.7781802769177
122,122.0,1.0,1.0,2.0,0.4,2.0,2.0,0.8,0.8,1.0,0.8,55.0,-865.3765814843812,130.58794234320223,3353.920880484145,2695.897202538948
123,123.0,1.0,1.0,2.0,0.5,3.0,2.0,0.9,0.9,1.0,0.9,65.0,-474.07749833075525,130.58794234320223,2948.011540544663,3240.752480911655
124,124.0,1.0,1.0,2.0,0.6,2.0,1.0,0.7,0.7,0.7,1.0,55.0,-922.2564261856661,77.9143539830844,2578.5873004236273,1596.573875483757
125,125.0,1.0,1.0,2.0,0.1,3.0,2.0,1.0,1.0,0.9,1.0,45.0,-680.956249921848,130.58794234320223,2965.452600605181,1706.9264787309778
126,126.0,1.0,1.0,2.0,0.6,1.0,1.0,0.9,0.9,0.8,0.8,65.0,-700.606736368852,130.58794234320223,3391.9275405446633,3527.3697147603016
127,127.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,0.9,0.9,1.0,55.0,-1175.8143462559915,77.404691278589,3314.3551005446634,2089.0703130029387
128,128.0,1.0,1.0,2.0,0.3,2.0,2.0,0.8,0.8,1.0,0.9,55.0,-790.8437369978368,130.58794234320223,3353.920880484145,2409.279968690301
129,129.0,1.0,1.0,2.0,0.2,3.0,2.0,1.0,1.0,1.0,0.7,55.0,-269.3646319458869,130.58794234320223,3112.170600605181,1735.3056680555642
130,130.0,1.0,1.0,2.0,1.0,3.0,2.0,0.9,0.9,0.8,1.0,55.0,-868.381571512471,76.83579636842755,2654.5755405446635,2230.448946744862
131,131.0,1.0,1.0,2.0,0.7,2.0,1.0,0.8,0.8,0.8,0.9,45.0,-1323.8272869304096,68.90193226572049,2946.471200484145,1413.5794743689846
132,132.0,1.0,1.0,2.0,0.2,3.0,1.0,0.7,0.7,0.7,1.0,55.0,-294.8647526576128,130.58794234320223,2179.539420423627,2122.6627348416546
133,133.0,1.0,1.0,2.0,0.5,3.0,2.0,0.8,0.8,0.7,1.0,45.0,-821.9023358820276,77.9143539830844,2343.698480484145,1424.3355567862263
134,134.0,1.0,1.0,2.0,0.2,3.0,2.0,0.7,0.7,0.7,0.7,55.0,-56.60223924555862,130.58794234320223,2179.539420423627,1735.3056680555642
135,135.0,1.0,1.0,2.0,0.9,3.0,1.0,0.7,0.7,1.0,0.7,55.0,-913.0336573403895,77.404691278589,2619.6934204236272,1921.946293978683
136,136.0,1.0,1.0,2.0,0.3,1.0,2.0,0.7,0.7,0.7,0.8,55.0,-291.9134115763168,130.58794234320223,2824.7224204236268,2280.160946428271
137,137.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,1.0,65.0,-1294.3639792739064,77.404691278589,3556.0866006051815,2259.2914518461334
138,138.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,0.9,0.9,1.0,55.0,-1386.896072000445,73.34474891161356,3314.3551005446634,1917.8555934003225
139,139.0,1.0,1.0,2.0,0.4,1.0,2.0,0.8,0.8,1.0,0.7,65.0,-710.974355514461,130.58794234320223,3705.542480484145,2566.7781802769177
140,140.0,1.0,1.0,2.0,0.8,3.0,2.0,0.7,0.7,0.8,0.7,55.0,-474.6599388391866,101.2290504822933,2326.257420423627,2776.171395463758
141,141.0,1.0,1.0,2.0,0.9,3.0,2.0,0.9,0.9,0.8,0.8,55.0,-953.3855837138844,76.26200830265213,2654.5755405446635,1929.435537304272
142,142.0,1.0,1.0,2.0,0.6,1.0,2.0,1.0,1.0,0.7,0.9,65.0,-487.7437182024607,130.58794234320223,3317.199600605181,3656.4887370223314
143,143.0,1.0,1.0,2.0,0.5,1.0,2.0,0.7,0.7,0.7,0.9,45.0,-1087.7246121955143,83.79852469307862,2824.7224204236268,1550.5390293297644
144,144.0,1.0,1.0,2.0,0.3,3.0,2.0,0.8,0.8,0.8,0.8,55.0,-313.0910423771999,130.58794234320223,2490.4164804841457,2280.160946428271
145,145.0,1.0,1.0,2.0,0.3,2.0,1.0,0.9,0.9,0.9,0.7,55.0,-660.2125122248432,130.58794234320223,3314.3551005446634,2151.041924166241
146,146.0,1.0,1.0,2.0,0.8,2.0,1.0,0.9,0.9,0.9,0.8,55.0,-1235.4222886794632,77.404691278589,3314.3551005446634,1807.4331614769067
147,147.0,1.0,1.0,2.0,0.9,3.0,2.0,0.8,0.8,1.0,1.0,55.0,-1094.9112175623545,73.34474891161356,2783.8524804841454,1917.8555934003225
148,148.0,1.0,1.0,2.0,0.7,3.0,1.0,1.0,1.0,1.0,0.7,45.0,-1337.4744613787107,74.54606869299404,3112.170600605181,1488.8729725612784
149,149.0,1.0,1.0,2.0,0.2,3.0,2.0,0.9,0.9,0.8,0.9,45.0,-605.0193100002982,130.58794234320223,2654.5755405446635,1993.5437125796243
150,150.0,1.0,1.0,2.0,0.6,1.0,1.0,1.0,1.0,0.9,0.7,55.0,-1494.376254478303,90.2139868922699,3794.973600605181,1839.7432269498067
151,151.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,0.9,1.0,65.0,-1129.4778630775836,77.404691278589,3302.496420423627,2259.2914518461334
