n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
85,85,579027.5056,1.0,0.92,0.6,60,0.97,61.0330712118,422756.5926438
86,86,475716.9936,0.99,0.94,0.4,55,0.96,61.1764357235,422751.5023157
87,87,-64786.4111,0.99,0.96,0.1,30,0.96,61.6926653289,422750.4181944
88,88,63648.9355,0.95,0.93,0.6,35,0.96,59.4268605463,422752.2250632
89,89,175601.7583,0.93,0.92,0.9,40,0.99,58.4230155563,422766.4119263
90,90,160182.8204,0.97,0.99,0.6,40,0.94,61.7212795497,422743.4899021
91,91,55026.0086,0.97,0.99,0.5,35,0.91,61.7212795497,422730.0257865
92,92,-49571.9597,0.94,0.97,0.7,30,0.94,60.0864546634,422743.8512758
93,93,-62986.8812,0.99,0.94,0.4,30,0.97,61.1764357235,422755.8698963
94,94,54779.994,0.96,0.99,0.3,35,0.94,61.3484144561,422742.4057807
95,95,370289.3872,0.98,1.0,1,50,0.91,62.352259446,422731.8326554
96,96,54502.1947,0.97,0.98,0.1,35,0.93,61.463164747,422737.3154526
97,97,582076.4355,0.96,0.97,0.9,60,0.98,60.8321848507,422762.0443457
98,98,365792.1293,1.0,0.98,0.2,50,0.94,62.581760028,422742.044407
99,99,183690.8724,0.91,0.91,0.3,40,0.98,57.4191705663,422759.8761031
100,100,291359.7057,0.91,0.92,0.2,45,0.95,57.677285369,422746.4119876
101,101,61853.9685,0.94,0.94,0.9,35,0.99,59.3121102553,422766.4119263
102,102,487094.4063,0.92,1.0,0.9,55,0.95,60.1150688842,422748.941604
103,103,364133.4204,1.0,1.0,0.2,50,0.93,63.0979896333,422737.6768264
104,104,288933.1012,0.91,0.93,0.5,45,0.96,57.9354001717,422751.8636895
105,105,588408.3673,0.92,0.99,0.7,60,1.0,59.8569540815,422770.0567594
106,106,175662.827,0.96,0.92,0.5,40,0.91,59.5416108372,422730.0257865
107,107,575430.2402,0.98,1.0,0.6,60,0.95,62.352259446,422747.8574827
108,108,277620.6104,0.94,0.97,0.5,45,0.94,60.0864546634,422743.1285283
109,109,269920.6212,0.98,0.94,0.6,45,0.95,60.8035706299,422747.8574827
110,110,56250.8171,0.98,0.94,0.1,35,0.94,60.8035706299,422741.6830332
111,111,481681.8221,0.98,0.94,0.9,55,0.92,60.8035706299,422735.8388622
112,112,373225.6864,0.97,0.96,0.9,50,0.97,60.9469351416,422757.6767652
113,113,-43373.8509,0.93,0.94,0.9,30,0.95,58.9392451617,422748.941604
114,114,178794.0361,0.91,0.93,0.6,40,1.0,57.9354001717,422769.6953856
115,115,157037.0512,1.0,0.96,0.8,40,0.93,62.0655304226,422739.845069
116,116,378341.124,0.97,0.96,0.8,50,0.91,60.9469351416,422731.1099078
117,117,377661.2136,0.97,0.95,0.6,50,0.94,60.688820339,422743.4899021
118,118,582229.2196,0.95,0.99,0.4,60,0.98,60.9755493624,422760.2374769
119,119,586932.7114,0.97,0.96,0.4,60,0.91,60.9469351416,422729.6644127
120,120,55340.6461,0.99,0.94,0.7,35,0.92,61.1764357235,422735.1161147
121,121,172172.9722,0.91,1.0,0.7,40,0.97,59.7422037905,422756.9540176
122,122,500154.5123,0.91,0.93,0.2,55,0.94,57.9354001717,422742.044407
123,123,53505.0404,0.97,0.95,0.2,35,0.98,60.688820339,422759.5147293
124,124,263221.7053,1.0,0.98,0.8,45,0.91,62.581760028,422731.1099078
125,125,278515.1318,0.92,0.98,0.8,45,0.97,59.5988392788,422757.3153914
126,126,380029.3001,0.96,0.96,0.5,50,0.93,60.574070048,422738.7609477
127,127,153374.694,0.99,0.97,0.6,40,0.98,61.9507801316,422760.9602244
128,128,65407.0642,0.93,0.98,0.3,35,0.93,59.9717043724,422738.0382001
129,129,-40293.9173,0.92,0.91,0.9,30,0.99,57.79203566,422766.4119263
130,130,178403.5501,0.92,0.98,0.4,40,0.91,59.5988392788,422729.6644127
131,131,487019.0861,0.91,0.99,0.1,55,1.0,59.4840889878,422767.8885167
132,132,383423.4563,0.91,0.99,0.2,50,0.99,59.4840889878,422763.8823099
133,133,-55169.141,0.97,0.95,0.1,30,0.94,60.688820339,422741.6830332
134,134,154901.6964,1.0,0.94,0.2,40,0.98,61.5493008172,422759.5147293
135,135,65699.7517,0.96,0.91,0.6,35,0.94,59.2834960345,422743.4899021
136,136,174896.9631,0.94,0.92,0.9,40,0.97,58.79588065,422757.6767652
137,137,390984.481,0.93,0.93,0.6,50,0.94,58.681130359,422743.4899021
138,138,374372.1277,0.98,0.97,0.5,50,0.92,61.577915038,422734.3933671
139,139,600698.4025,0.91,0.97,0.5,60,0.92,58.9678593825,422734.3933671
140,140,151011.8492,0.99,0.98,0.5,40,0.99,62.2088949343,422764.9664312
141,141,483853.1202,0.93,0.98,0.2,55,0.99,59.9717043724,422763.8823099
142,142,55450.724,0.96,0.94,0.6,35,1.0,60.0578404426,422769.6953856
143,143,-45209.7272,0.94,0.94,0.9,30,0.94,59.3121102553,422744.5740234
144,144,163477.9503,0.96,0.95,0.2,40,0.99,60.3159552453,422763.8823099
145,145,587133.4462,0.94,0.96,0.5,60,1.0,59.8283398607,422769.3340118
146,146,63511.854,0.94,0.98,0.8,35,0.92,60.3445694661,422735.4774884
147,147,386689.0798,0.95,0.93,0.5,50,0.93,59.4268605463,422738.7609477
148,148,166872.343,0.97,0.92,0.3,40,0.97,59.9144759309,422755.5085225
149,149,476232.6827,0.98,0.93,0.5,55,1.0,60.5454558272,422769.3340118
150,150,590987.8388,0.97,0.93,0.2,60,0.91,60.1725907336,422728.9416652
151,151,158176.0681,0.95,1.0,0.6,40,1.0,61.2336641651,422769.6953856
