n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
122,122,370176.5543,1.0,0.9,1.0,50,1.0,60.5168416064,422771.1408807
123,123,168231.8352,0.95,1.0,1.0,40,0.9,61.2336641651,422727.4650748
124,124,-30566.2362,0.9,0.95,0.1,30,0.9,58.0787646834,422724.2127108
125,125,362432.2397,0.98,1.0,0.2,50,1.0,62.352259446,422768.2498905
126,126,157578.8503,1.0,0.98,0.1,40,0.9,62.581760028,422724.2127108
127,127,158347.2147,0.95,1.0,0.1,40,1.0,61.2336641651,422767.8885167
128,128,-62718.4581,0.98,0.95,0.6,30,0.98,61.0616854326,422760.9602244
129,129,166959.3263,0.98,0.95,0.8,40,0.9,61.0616854326,422726.7423272
130,130,383682.7919,0.95,0.9,0.4,50,1.0,58.6525161382,422768.9726381
131,131,179881.599,0.9,0.98,0.2,40,0.95,58.8531090915,422746.4119876
132,132,614470.2619,0.9,0.9,0.3,60,0.9,56.78819067,422724.9354584
133,133,153455.432,1.0,0.95,0.4,40,0.98,61.8074156199,422760.2374769
134,134,372691.25,1.0,0.95,0.3,50,0.9,61.8074156199,422724.9354584
135,135,587738.731,0.95,1.0,0.6,60,0.9,61.2336641651,422726.0195797
136,136,-51924.75,0.98,0.9,0.7,30,0.95,59.7711114191,422748.2188564
137,137,368691.8653,1.0,0.95,0.5,50,0.95,61.8074156199,422747.4961089
138,138,592437.0168,0.9,1.0,0.6,60,1.0,59.3693386969,422769.6953856
139,139,581925.9957,0.95,0.98,0.1,60,1.0,60.7174345597,422767.8885167
140,140,579590.6733,0.98,0.95,0.3,60,0.98,61.0616854326,422759.8761031
141,141,174751.0276,0.9,0.98,0.3,40,1.0,58.8531090915,422768.6112643
142,142,572932.7476,0.98,1.0,0.3,60,0.98,62.352259446,422759.8761031
143,143,577684.19,0.98,0.95,0.9,60,1.0,61.0616854326,422770.7795069
144,144,586088.4834,0.95,0.98,0.6,60,0.95,60.7174345597,422747.8574827
145,145,183946.5575,0.9,0.95,0.4,40,0.95,58.0787646834,422747.1347351
146,146,-67531.2847,1.0,1.0,0.8,30,0.9,63.0979896333,422726.7423272
147,147,599413.6049,0.9,0.98,0.6,60,0.95,58.8531090915,422747.8574827
148,148,570296.0553,1.0,0.98,0.2,60,0.98,62.581760028,422759.5147293
149,149,388684.1827,0.9,1.0,0.5,50,0.95,59.3693386969,422747.4961089
150,150,377961.8594,0.95,0.98,0.7,50,0.95,60.7174345597,422748.2188564
