n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
118,118.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1,0.8,0.7,0.9,20.0,-598.3454764449015,135.48321153713508,885.2415806966371,763.8405686755063
119,119.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8,0.7,0.9,50.0,315.98235242413944,190.19516550018875,1145.0020041277005,1567.7831845493306
120,120.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.5,0.7,1.0,0.9,25.0,-782.6353677617838,56.00568523776178,889.81719528091,862.8177335632103
121,121.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.9,1.0,0.9,60.0,492.0551235721563,190.19516550018875,1452.260434468143,1567.7831845493306
122,122.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.7,1.0,0.9,30.0,-959.6276826208408,56.00568523776178,824.77011528091,1538.2100958016053
123,123.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.4,0.7,0.8,1.0,25.0,-568.9038288826962,190.19516550018875,1106.4252275745146,2533.3856909340016
124,124.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.1,0.8,0.9,1.0,20.0,-472.1499983609624,190.19516550018875,1179.1122910213292,1197.8908085128685
125,125.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,0.8,1.0,1.0,55.0,437.2885584987725,190.19516550018875,1005.6331152809101,2088.2207301269577
126,126.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.3,0.8,0.7,1.0,50.0,585.6421658600292,190.19516550018875,839.2131006966371,2088.2207301269577
127,127.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,55.0,-43.4619157665298,190.19516550018875,1145.0020041277005,5204.37545577627
128,128.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.7,1.0,1.0,30.0,-853.3546777396415,113.418486506286,1260.9035144681432,1704.616752900636
129,129.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,0.7,1.0,1.0,60.0,634.4284544348563,190.19516550018875,1195.8564344681429,1643.0557693199135
130,130.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,0.8,0.9,1.0,50.0,286.1641613499738,190.19516550018875,965.502603752819,2088.2207301269577
131,131.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,0.7,0.9,0.9,40.0,-9.452302449641543,190.19516550018875,889.961603752819,2012.9481453563756
132,132.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.3,1.0,1.0,0.9,60.0,576.6239648288965,190.19516550018875,1099.17951528091,2012.9481453563756
133,133.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.8,0.8,0.8,0.9,30.0,-791.397191217739,97.7210875047205,1101.8731475745146,2093.840823790098
134,134.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.3,0.9,1.0,0.9,60.0,801.9137090889992,190.19516550018875,1081.17411528091,2012.9481453563756
135,135.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.1,0.8,0.9,0.9,40.0,159.60365330750267,190.19516550018875,919.474123752819,1122.6182237422863
136,136.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,0.8,1.0,25.0,-1166.353814315971,56.00568523776178,925.372092224728,1559.0351370599183
137,137.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.7,0.8,0.9,55.0,-129.0817283051697,190.19516550018875,1106.4252275745146,4683.937910198643
138,138.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.9,0.8,0.9,50.0,-49.554910882201675,190.19516550018875,1297.7821475745145,2903.2780669704653
139,139.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.8,1.0,40.0,-187.01059906888906,190.19516550018875,1373.3231475745145,1643.0557693199135
140,140.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.2,0.7,0.7,1.0,50.0,589.5515538030874,190.19516550018875,1029.1860841277005,1643.0557693199135
141,141.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.6,0.9,0.8,1.0,20.0,-965.1524942810322,56.00568523776178,865.4990922247281,1018.7212472692021
142,142.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.8,0.9,25.0,-1281.4242070212163,56.00568523776178,1162.3681475745145,1538.2100958016053
143,143.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,1.0,1.0,1.0,45.0,-61.84601908087539,190.19516550018875,1470.2658344681429,1643.0557693199135
144,144.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.9,0.9,0.9,1.0,25.0,-983.2894256455901,56.00568523776178,989.261563752819,1423.9566646122394
145,145.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.6,0.8,0.8,1.0,20.0,-979.0657544284388,56.00568523776178,879.3436122247281,1018.7212472692021
