n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
155,155.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.9,0.8,0.8,55.0,510.3608772468193,190.19516550018875,1297.7821475745145,1047.3456389717037
156,156.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.1,1.0,1.0,1.0,45.0,-252.90016817479002,190.19516550018875,1527.801434468143,1197.8908085128685
157,157.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,0.7,0.7,1.0,0.9,65.0,-79.1844559753054,190.19516550018875,1260.9035144681432,3793.6079885845534
158,158.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.7,0.8,0.9,0.7,55.0,433.37686381335624,190.19516550018875,845.1346037528192,3643.0628190433886
159,159.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.8,1.0,1.0,45.0,-724.9515329429045,115.02198370795362,1005.6331152809101,3038.433015111291
160,160.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.8,0.8,55.0,-111.55161121285403,190.19516550018875,1315.7875475745145,5053.8302862351065
161,161.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.6,0.7,0.7,1.0,65.0,407.13511156728674,190.19516550018875,809.700580696637,3423.7156125480915
162,162.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.4,0.8,0.7,1.0,55.0,718.5751064771636,190.19516550018875,764.8735806966372,2533.3856909340016
163,163.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.9,1.0,0.8,0.9,65.0,253.08529586515772,190.19516550018875,1018.9184922247282,4683.937910198643
164,164.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.7,0.9,1.0,0.7,45.0,16.346147702635818,190.19516550018875,945.76011528091,3643.0628190433886
165,165.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,1.0,0.9,1.0,65.0,691.7014091346635,190.19516550018875,1393.0266910213288,1643.0557693199135
166,166.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.1,0.8,1.0,0.7,55.0,557.4576182077711,190.19516550018875,1256.3514344681432,972.0730542011215
