n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
975,975,366919.5084,1.0,0.94,0.8,50,0.98,803.4128422354,422761.682972
976,976,161282.8268,0.98,0.97,0.4,40,0.93,808.0802969792,422738.3995739
977,977,584267.6871,0.98,0.96,0.4,60,0.91,803.831175752,422729.6644127
978,978,486441.1709,0.93,0.98,0.2,55,0.96,792.1296458622,422750.7795681
979,979,582395.0979,0.96,1.0,0.9,60,0.93,812.747751723,422740.2064428
980,980,-314642.447,0.92,0.95,0.1,20,1.0,775.3423277119,422767.8885167
981,981,-343719.3388,0.99,0.99,1.0,20,0.99,820.6184939023,422766.7733001
982,982,167334.924,0.93,0.98,0.9,40,0.99,792.1296458622,422766.4119263
983,983,-339875.0901,0.99,0.96,0.3,20,1.0,807.8711302208,422768.6112643
984,984,52432.0374,1.0,0.92,0.3,35,0.95,794.9145997811,422746.7733613
985,985,-45595.4864,0.92,0.97,0.1,30,0.96,783.8405701662,422750.4181944
986,986,378431.6821,0.97,0.96,0.5,50,0.91,799.7912212832,422730.0257865
987,987,487999.0064,0.94,0.98,0.5,55,0.91,796.169600331,422730.0257865
988,988,394862.2004,0.91,0.94,1.0,50,0.94,767.0532520159,422744.9353972
989,989,-165077.9184,0.91,0.99,1.0,25,0.95,788.2988581517,422749.3029777
990,990,-177145.8233,0.94,0.97,0.8,25,1.0,791.9204791038,422770.4181332
991,991,376658.6063,0.96,0.97,0.6,50,0.95,800.0003880415,422747.8574827
992,992,270050.3155,0.97,0.93,0.1,45,0.99,787.0438576017,422763.5209361
993,993,-169856.9386,0.91,1.0,0.2,25,0.98,792.5479793788,422759.5147293
994,994,579907.4817,0.99,0.96,0.3,60,0.93,807.8711302208,422738.0382001
995,995,174365.7593,0.97,0.91,0.3,40,0.91,778.5456151474,422729.303039
996,996,-58890.7381,0.98,0.94,0.3,30,0.96,795.3329332977,422751.1409419
997,997,395310.0683,0.91,0.93,0.6,50,0.95,762.8041307887,422747.8574827
998,998,55141.1401,0.99,0.92,0.4,35,0.95,790.8746453122,422747.1347351
999,999,-61154.4284,1.0,0.93,0.4,30,0.94,799.1637210082,422742.7671545
