n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
536,536.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.8,1.0,1.0,0.9,40.0,-540.4348195262917,51.036069720851245,677.52351528091,1272.0931916945017
537,537.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.7,1.0,0.9,0.9,60.0,-146.40023947098427,107.28334889774962,685.0246037528191,2507.8582126228116
538,538.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0,30.0,-329.85272518514535,107.28334889774962,725.1551152809101,1615.664831837561
539,539.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.6,0.9,0.7,0.9,60.0,258.0844518351531,107.28334889774962,460.0045806966371,2197.928840867221
540,540.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8,0.9,0.9,1.0,50.0,-251.57377242672797,106.89126506787974,652.6396037528191,2841.5795080893945
541,541.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.9,0.9,0.9,0.9,20.0,-854.1886947389708,22.074667526002244,652.6396037528191,703.658095169704
542,542.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.5,0.9,1.0,0.9,35.0,-346.3671518741098,101.56092597651714,580.3961152809101,1763.9519069605144
543,543.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.3,1.0,0.9,1.0,55.0,29.144171257654172,107.28334889774962,560.1646037528191,1305.7354600819706
544,544.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.9,0.8,1.0,35.0,-659.8229624555212,22.074667526002244,569.6406522247281,781.8423279663377
545,545.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.1,0.9,0.9,1.0,40.0,26.40207633291455,107.28334889774962,652.6396037528191,685.8767165707904
546,546.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,30.0,-692.1302525200102,22.074667526002244,725.1551152809101,570.6823745417917
547,547.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.1,0.9,1.0,1.0,50.0,366.74545035404924,107.28334889774962,692.7701152809101,685.8767165707904
548,548.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.5,0.9,1.0,0.9,60.0,178.94531085302467,107.28334889774962,692.7701152809101,1887.9994691116308
549,549.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.1,0.9,1.0,1.0,50.0,394.6659116041981,107.28334889774962,649.90167528091,685.8767165707904
550,550.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.5,0.9,1.0,0.9,45.0,-230.39231286715778,107.28334889774962,649.90167528091,1887.9994691116308
551,551.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.1,0.9,0.9,1.0,60.0,193.96338974679253,107.28334889774962,652.6396037528191,685.8767165707904
552,552.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.7,0.9,40.0,-597.279912823949,22.074667526002244,479.9035806966371,774.0447463112193
553,553.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.3,0.9,0.9,1.0,40.0,51.14565798636375,107.28334889774962,609.7711637528191,1305.7354600819706
554,554.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.9,1.0,0.9,30.0,-757.1184938374602,22.074667526002244,649.90167528091,774.0447463112193
555,555.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.9,1.0,0.7,0.9,60.0,-242.77794377912326,104.90280256184363,604.7635806966371,3038.5803591427407
